,name,description,member
43115,ATF3,RNU6-559P,colon
43124,ATF3,MIR31,colon
43126,ATF3,RN7SL151P,colon
43161,ATF3,RNU6-765P,colon
43169,ATF3,RP11-63P12.7,colon
43262,ATF3,MIR4669,colon
43293,ATF3,RNU6-942P,colon
43330,ATF3,MIR4433A,colon
43346,ATF3,Y_RNA,colon
43348,ATF3,AC012454.4,colon
43369,ATF3,NPM1P32,colon
43401,ATF3,RP11-227L6.1,colon
43416,ATF3,DNAJB1P1,colon
43433,ATF3,RNU6-474P,colon
43477,ATF3,Y_RNA,colon
43496,ATF3,RP11-193I22.2,colon
43524,ATF3,FLNB-AS1,colon
43539,ATF3,RPL38P4,colon
43625,ATF3,TMEM14E,colon
43643,ATF3,MIR569,colon
43659,ATF3,RP11-329B9.4,colon
43737,ATF3,LINC01332,colon
43771,ATF3,CTC-459M5.1,colon
43795,ATF3,RP1-247F3.1,colon
43798,ATF3,MIR3936,colon
43815,ATF3,CTB-46B19.1,colon
43850,ATF3,Y_RNA,colon
43857,ATF3,AC008694.2,colon
43883,ATF3,RYKP1,colon
43952,ATF3,RNU7-97P,colon
43957,ATF3,CTC-296K1.3,colon
43985,ATF3,RP11-159D12.2,colon
43993,ATF3,WFDC21P,colon
44008,ATF3,AC006947.1,colon
44034,ATF3,RPL7P49,colon
44065,ATF3,RP11-1008C21.2,colon
44073,ATF3,C15orf56,colon
44097,ATF3,RP11-56B16.4,colon
44100,ATF3,BCL2L10,colon
44101,ATF3,CTD-2184D3.6,colon
44105,ATF3,MIR2116,colon
44149,ATF3,Metazoa_SRP,colon
44189,ATF3,SNORD27,colon
44198,ATF3,LINC01066,colon
44239,ATF3,RP11-29B2.6,colon
44244,ATF3,RN7SL783P,colon
44280,ATF3,RP11-626G11.3,colon
44281,ATF3,CTD-2649C14.1,colon
44309,ATF3,MT1E,colon
44312,ATF3,CTC-661I16.1,colon
44407,ATF3,SNORA22,colon
44408,ATF3,SNORA15,colon
44418,ATF3,RNA5SP233,colon
44528,ATF3,RP11-59H1.1,colon
44529,ATF3,RP11-392P7.1,colon
44565,ATF3,RP11-70F11.8,colon
44585,ATF3,KRT6B,colon
44603,ATF3,AVIL,colon
44618,ATF3,RP11-114H23.3,colon
44619,ATF3,SNORA70,colon
44627,ATF3,RNU6-1329P,colon
44652,ATF3,MIR3922,colon
44728,ATF3,CIDEB,colon
44731,ATF3,RNU6-1261P,colon
44732,ATF3,RP11-434O22.2,colon
44767,ATF3,RN7SL706P,colon
44816,ATF3,SNORD114-26,colon
44817,ATF3,SNORD114-27,colon
44818,ATF3,SNORD114-28,colon
